feature,mean|SHAP val|
genderandFemale,0.045499946060622395
admission_sourceandTransfer from a Skilled Nursing Facility (SNF),0.0
care_settingandMedical/Surgical,0.0
age_grpand>=80,0.0
admission_typeandElective,0.0
age_grpand50~60,0.0
age_grpand60~70,0.0
admission_sourceandOthers/unknown,0.0
age_grpand30~40,0.0
care_settingandIntensive Care Unit,0.0
admission_sourceandClinic Referral,0.0
care_settingandOthers/unknown,0.0
care_settingandSurgery,0.0
age_grpand20~30,0.0
raceandOthers/unknown,0.0
admission_sourceandTransfer from a hospital,0.0
care_settingandAmbulatory Unit,0.0
age_grpand<20,0.0045835219912167095
admission_typeandOthers/unknown,0.0
admission_typeandTrauma Center,0.0
raceandAsian,0.0
care_settingandCardiology,0.0
care_settingandOrthopedics,0.0
care_settingandCoronary Care Unit,0.0
care_settingandStep-Down Unit,0.0
admission_sourceandTransfer from another health care facility,0.0
care_settingandStep-Down Unit - Cardiac,0.0
care_settingandObstetrics,0.0
care_settingandPhysical Rehabilitation,0.0
care_settingandGeneral Medicine,0.0
care_settingandOncology,0.0
admission_sourceandInformation Not Available,0.0
